pmcid,disease_label,broad_disease,gene,confidence
PMC11402759,osteoporosis,musculoskeletal,ESR1,medium
PMC11402759,osteoporosis,musculoskeletal,CTNNB1,medium
PMC11402759,osteoporosis,musculoskeletal,MAPK14,medium
PMC11402759,osteoporosis,musculoskeletal,FOS,medium
PMC7808160,hepatocellular_carcinoma,cancer,CYP3A4,high
PMC7808160,hepatocellular_carcinoma,cancer,CYP1A2,high
PMC7808160,hepatocellular_carcinoma,cancer,PPP3CA,high
PMC7808160,hepatocellular_carcinoma,cancer,PTGS2,high
PMC7808160,hepatocellular_carcinoma,cancer,CDK1,high
PMC7808160,hepatocellular_carcinoma,cancer,SLC17A5,high
PMC7808160,hepatocellular_carcinoma,cancer,HYCC1,high
PMC11546154,endometriosis,gynecologic,AKT1,high
PMC11546154,endometriosis,gynecologic,IL6,high
PMC11546154,endometriosis,gynecologic,TNF,high
PMC11546154,endometriosis,gynecologic,IL1B,high
PMC11546154,endometriosis,gynecologic,TP53,high
PMC11546154,endometriosis,gynecologic,ESR1,high
PMC11546154,endometriosis,gynecologic,EGFR,high
PMC11546154,endometriosis,gynecologic,STAT3,high
PMC11546154,endometriosis,gynecologic,HIF1A,high
PMC11546154,endometriosis,gynecologic,PTGS2,high
PMC12389041,pneumonia,respiratory_infectious,GPX4,medium
PMC12389041,pneumonia,respiratory_infectious,SLC7A11,medium
PMC12389041,pneumonia,respiratory_infectious,TFRC,medium
PMC12389041,pneumonia,respiratory_infectious,SETD2,medium
PMC12389041,pneumonia,respiratory_infectious,COX2,medium
PMC12389041,pneumonia,respiratory_infectious,ACSL4,medium
PMC10288138,,,TNF,medium
PMC10288138,,,AKT1,medium
PMC10288138,,,PTGS2,medium
PMC10288138,,,NR0B2,medium
PMC11666830,,,PPARG,high
PMC11666830,,,COMT,high
PMC11666830,,,MTOR,high
PMC11666830,,,CACNA1C,high
PMC11666830,,,KCNH2,high
PMC11666830,,,BMP4,high
PMC11666830,,,KCNQ1,high
PMC11666830,,,KCNMA1,high
PMC11666830,,,PTPN11,high
PMC11666830,,,ADRB2,high
PMC11666830,,,CACNA2D1,high
PMC11666830,,,CACNA1H,high
PMC11666830,,,CHRM1,high
PMC11666830,,,ICAM1,high
PMC11666830,,,VCAM1,high
PMC11666830,,,CASP8,high
PMC11666830,,,CYP2D6,high
PMC9504917,inflammatory_bowel_disease,gastrointestinal,CYP1B1,medium
PMC9504917,inflammatory_bowel_disease,gastrointestinal,SRC,medium
PMC9504917,inflammatory_bowel_disease,gastrointestinal,ESR2,medium
PMC9504917,inflammatory_bowel_disease,gastrointestinal,ABCG2,medium
PMC9504917,inflammatory_bowel_disease,gastrointestinal,CYP19A1,medium
PMC9504917,inflammatory_bowel_disease,gastrointestinal,AHR,medium
PMC9504917,inflammatory_bowel_disease,gastrointestinal,CA4,medium
PMC9504917,inflammatory_bowel_disease,gastrointestinal,ALOX5,medium
PMC9504917,inflammatory_bowel_disease,gastrointestinal,ABCC1,medium
PMC9504917,inflammatory_bowel_disease,gastrointestinal,ESR1,medium
PMC9504917,inflammatory_bowel_disease,gastrointestinal,NOS2,medium
PMC10973190,diabetes,metabolic,AMY2A,high
PMC10973190,diabetes,metabolic,NOX4,high
PMC10973190,diabetes,metabolic,RPS6KA3,high
PMC10973190,diabetes,metabolic,ADRA2A,high
PMC10973190,diabetes,metabolic,CHRM5,high
PMC10973190,diabetes,metabolic,IL2,high
PMC10973190,diabetes,metabolic,PPARA,high
PMC8410425,,,TP53,medium
PMC8410425,,,RPS27A,medium
PMC8410425,,,UBC,medium
PMC10343517,,,ALB,medium
PMC10343517,,,CYP2E1,medium
PMC10343517,,,CYP1A2,medium
PMC10343517,,,CYP3A4,medium
PMC10343517,,,CYP2C9,medium
PMC10343517,,,ABCB1,medium
PMC10343517,,,AHR,medium
PMC10343517,,,TNF,medium
PMC10343517,,,UGT1A9,medium
PMC10343517,,,GSTP1,medium
PMC10343517,,,DCX,medium
PMC11346898,diabetes,metabolic,TNF,high
PMC11346898,diabetes,metabolic,IL1B,high
PMC11346898,diabetes,metabolic,AKT1,high
PMC11346898,diabetes,metabolic,PTGS2,high
PMC11346898,diabetes,metabolic,BCL2,high
PMC11346898,diabetes,metabolic,JUN,high
PMC12787952,,,BCL2,high
PMC12787952,,,BCL2L1,high
PMC12787952,,,BIRC5,high
PMC12787952,,,CASP1,high
PMC12787952,,,CASP3,high
PMC12787952,,,CASP7,high
PMC12787952,,,CASP8,high
PMC12787952,,,CASP9,high
PMC12787952,,,CDK9,high
PMC12787952,,,IL1B,high
PMC12787952,,,MCL1,high
PMC12787952,,,RELA,high
PMC12787952,,,STAT1,high
PMC12787952,,,STAT3,high
PMC10027700,,,OTSC1,medium
PMC10027700,,,STAT3,medium
PMC10027700,,,TNF,medium
PMC10027700,,,JUN,medium
PMC10027700,,,CMAS,medium
PMC12462212,neuropathic_pain,neurological,ACTB,high
PMC12462212,neuropathic_pain,neurological,PPP1CA,high
PMC12462212,neuropathic_pain,neurological,MAPK3,high
PMC12462212,neuropathic_pain,neurological,PTEN,high
PMC11479432,,,TNF,medium
PMC11479432,,,IL1B,medium
PMC11479432,,,IL6,medium
PMC11479432,,,IL17A,medium
PMC11479432,,,EGR1,medium
PMC11479432,,,THBS1,medium
PMC12091606,periodontitis,oral,TNF,high
PMC12091606,periodontitis,oral,AKT1,high
PMC12091606,periodontitis,oral,SRC,high
PMC12091606,periodontitis,oral,EGFR,high
PMC12091606,periodontitis,oral,MMP9,high
PMC10783272,depression,psychiatric,AKT1,high
PMC10783272,depression,psychiatric,PIK3R1,high
PMC10783272,depression,psychiatric,PIK3CA,high
PMC10783272,depression,psychiatric,MAPK1,high
PMC10783272,depression,psychiatric,MAPK8,high
PMC10627606,acne,dermatologic,CXCL8,high
PMC10627606,acne,dermatologic,ESR1,high
PMC10627606,acne,dermatologic,IL1B,high
PMC10627606,acne,dermatologic,MMP1,high
PMC10627606,acne,dermatologic,MMP3,high
PMC6593161,,,SRC,high
PMC6593161,,,MAPK14,high
PMC6593161,,,HRAS,high
PMC6593161,,,HSP90AA1,high
PMC6593161,,,F2,high
PMC6593161,,,LCK,high
PMC6593161,,,CDK2,high
PMC6593161,,,MMP9,high
PMC12563024,,,CFTR,medium
PMC12563024,,,IL6,medium
PMC12563024,,,ADRB2,medium
PMC12277270,diabetes,metabolic,GSK3B,medium
PMC12277270,diabetes,metabolic,TP53,medium
PMC12277270,diabetes,metabolic,PTGS2,medium
PMC12277270,diabetes,metabolic,INS,medium
PMC12277270,diabetes,metabolic,IL1B,medium
PMC8860994,,,S1PR5,medium
PMC8860994,,,MBTPS1,medium
PMC8860994,,,GNAI1,medium
PMC9901982,,,TP53,high
PMC9901982,,,RELA,high
PMC9901982,,,TNF,high
PMC9892186,hepatocellular_carcinoma,cancer,HSP90AA1,medium
PMC9892186,hepatocellular_carcinoma,cancer,SRC,medium
PMC9892186,hepatocellular_carcinoma,cancer,CDK1,medium
PMC9892186,hepatocellular_carcinoma,cancer,CCNA2,medium
PMC9892186,hepatocellular_carcinoma,cancer,CDK4,medium
PMC9892186,hepatocellular_carcinoma,cancer,PLK1,medium
PMC9892186,hepatocellular_carcinoma,cancer,CDK2,medium
PMC9892186,hepatocellular_carcinoma,cancer,TOP2A,medium
PMC9892186,hepatocellular_carcinoma,cancer,AURKB,medium
PMC9892186,hepatocellular_carcinoma,cancer,CDK6,medium
PMC9985903,hepatocellular_carcinoma,cancer,CASP3,high
PMC9985903,hepatocellular_carcinoma,cancer,TP53,high
PMC9985903,hepatocellular_carcinoma,cancer,MDM2,high
PMC9985903,hepatocellular_carcinoma,cancer,AKT1,high
PMC9985903,hepatocellular_carcinoma,cancer,ESR1,high
PMC9985903,hepatocellular_carcinoma,cancer,BCL2L1,high
PMC9985903,hepatocellular_carcinoma,cancer,MCL1,high
PMC9985903,hepatocellular_carcinoma,cancer,HSP90AA1,high
PMC9985903,hepatocellular_carcinoma,cancer,CASP9,high
PMC9985903,hepatocellular_carcinoma,cancer,CCND1,high
PMC11637857,,,CDKN1B,high
PMC11637857,,,MAPK3,high
PMC11637857,,,PRKCD,high
PMC11637857,,,CDKN1A,high
PMC11637857,,,MAPK1,high
PMC11637857,,,RAF1,high
PMC11637857,,,BIRC5,high
PMC11637857,,,CTSB,high
PMC9634740,,,RELA,high
PMC9634740,,,CCND1,high
PMC9634740,,,MAPK1,high
PMC9634740,,,AKT1,high
PMC9634740,,,MYC,high
PMC9634740,,,MAPK8,high
PMC9634740,,,TP53,high
PMC9634740,,,ESR1,high
PMC9634740,,,FOS,high
PMC9634740,,,JUN,high
PMC12030508,hepatocellular_carcinoma,cancer,HYCC1,high
PMC12030508,hepatocellular_carcinoma,cancer,EGFR,high
PMC12030508,hepatocellular_carcinoma,cancer,SRC,high
PMC12030508,hepatocellular_carcinoma,cancer,STAT3,high
PMC12030508,hepatocellular_carcinoma,cancer,HSP90AB1,high
PMC12030508,hepatocellular_carcinoma,cancer,AKT1,high
PMC12030508,hepatocellular_carcinoma,cancer,ESR1,high
PMC12030508,hepatocellular_carcinoma,cancer,PTGS2,high
PMC12030508,hepatocellular_carcinoma,cancer,MAPK1,high
PMC12030508,hepatocellular_carcinoma,cancer,ALB,high
PMC12030508,hepatocellular_carcinoma,cancer,TLR4,high
PMC12030508,hepatocellular_carcinoma,cancer,MMP9,high
PMC12030508,hepatocellular_carcinoma,cancer,CYP1A1,high
PMC12030508,hepatocellular_carcinoma,cancer,CYP19A1,high
PMC12030508,hepatocellular_carcinoma,cancer,AR,high
PMC12030508,hepatocellular_carcinoma,cancer,NR3C1,high
PMC11040418,osteoarthritis,musculoskeletal,STAT3,medium
PMC11040418,osteoarthritis,musculoskeletal,ZHX2,medium
PMC11040418,osteoarthritis,musculoskeletal,PARP1,medium
PMC10651518,,,TNF,high
