third,fourth,control,status,completed_exhaustively,timed_out,witness_found,witness_verified,aggregate_nodes,wall_seconds,audit_status,coverage_ok
3,33,False,EXHAUSTED_NO_WITNESS,True,False,False,False,12736693,14.227523318,EXHAUSTED_NO_WITNESS,True
3,34,False,EXHAUSTED_NO_WITNESS,True,False,False,False,11427952,9.650782349,EXHAUSTED_NO_WITNESS,True
3,35,False,EXHAUSTED_NO_WITNESS,True,False,False,False,9942061,13.71173335,EXHAUSTED_NO_WITNESS,True
3,36,False,EXHAUSTED_NO_WITNESS,True,False,False,False,9415758,12.913385945,EXHAUSTED_NO_WITNESS,True
3,37,False,EXHAUSTED_NO_WITNESS,True,False,False,False,8380840,11.377606092,EXHAUSTED_NO_WITNESS,True
3,38,False,EXHAUSTED_NO_WITNESS,True,False,False,False,7775624,8.151924647,EXHAUSTED_NO_WITNESS,True
3,39,False,EXHAUSTED_NO_WITNESS,True,False,False,False,6901747,9.38275415,EXHAUSTED_NO_WITNESS,True
3,40,False,EXHAUSTED_NO_WITNESS,True,False,False,False,6443651,6.504002161,EXHAUSTED_NO_WITNESS,True
3,41,False,EXHAUSTED_NO_WITNESS,True,False,False,False,5579838,5.651678808,EXHAUSTED_NO_WITNESS,True
3,42,False,EXHAUSTED_NO_WITNESS,True,False,False,False,5045066,5.050857183,EXHAUSTED_NO_WITNESS,True
3,43,False,EXHAUSTED_NO_WITNESS,True,False,False,False,4336145,5.426089058,EXHAUSTED_NO_WITNESS,True
3,44,False,EXHAUSTED_NO_WITNESS,True,False,False,False,3835312,5.532471224,EXHAUSTED_NO_WITNESS,True
3,45,False,EXHAUSTED_NO_WITNESS,True,False,False,False,3272173,4.024571813,EXHAUSTED_NO_WITNESS,True
3,46,False,EXHAUSTED_NO_WITNESS,True,False,False,False,2838574,3.44251644,EXHAUSTED_NO_WITNESS,True
3,47,False,EXHAUSTED_NO_WITNESS,True,False,False,False,2365021,2.84449369,EXHAUSTED_NO_WITNESS,True
3,48,False,EXHAUSTED_NO_WITNESS,True,False,False,False,2206567,2.53991973,EXHAUSTED_NO_WITNESS,True
3,49,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1822177,2.060091173,EXHAUSTED_NO_WITNESS,True
3,50,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1186491,0.884106422,EXHAUSTED_NO_WITNESS,True
3,51,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1114532,1.285824951,EXHAUSTED_NO_WITNESS,True
3,52,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1047320,1.204076168,EXHAUSTED_NO_WITNESS,True
3,53,False,EXHAUSTED_NO_WITNESS,True,False,False,False,930263,0.706857681,EXHAUSTED_NO_WITNESS,True
3,54,False,EXHAUSTED_NO_WITNESS,True,False,False,False,737023,0.676739784,EXHAUSTED_NO_WITNESS,True
3,55,False,EXHAUSTED_NO_WITNESS,True,False,False,False,542664,0.597381143,EXHAUSTED_NO_WITNESS,True
3,56,False,EXHAUSTED_NO_WITNESS,True,False,False,False,429526,0.500324021,EXHAUSTED_NO_WITNESS,True
3,57,False,EXHAUSTED_NO_WITNESS,True,False,False,False,320284,0.346722458,EXHAUSTED_NO_WITNESS,True
3,58,False,EXHAUSTED_NO_WITNESS,True,False,False,False,244890,0.285494619,EXHAUSTED_NO_WITNESS,True
3,59,False,EXHAUSTED_NO_WITNESS,True,False,False,False,181136,0.1845385,EXHAUSTED_NO_WITNESS,True
3,60,False,EXHAUSTED_NO_WITNESS,True,False,False,False,143697,0.109488416,EXHAUSTED_NO_WITNESS,True
3,61,False,EXHAUSTED_NO_WITNESS,True,False,False,False,102354,0.070249679,EXHAUSTED_NO_WITNESS,True
3,62,False,EXHAUSTED_NO_WITNESS,True,False,False,False,79128,0.081283241,EXHAUSTED_NO_WITNESS,True
3,63,False,EXHAUSTED_NO_WITNESS,True,False,False,False,58799,0.058679683,EXHAUSTED_NO_WITNESS,True
3,64,False,EXHAUSTED_NO_WITNESS,True,False,False,False,43695,0.043694125,EXHAUSTED_NO_WITNESS,True
3,65,False,EXHAUSTED_NO_WITNESS,True,False,False,False,31838,0.031442888,EXHAUSTED_NO_WITNESS,True
3,66,False,EXHAUSTED_NO_WITNESS,True,False,False,False,24405,0.023938919,EXHAUSTED_NO_WITNESS,True
3,67,False,EXHAUSTED_NO_WITNESS,True,False,False,False,16871,0.01038015,EXHAUSTED_NO_WITNESS,True
3,68,False,EXHAUSTED_NO_WITNESS,True,False,False,False,13121,0.012449704,EXHAUSTED_NO_WITNESS,True
3,69,False,EXHAUSTED_NO_WITNESS,True,False,False,False,9306,0.008970482,EXHAUSTED_NO_WITNESS,True
3,70,False,EXHAUSTED_NO_WITNESS,True,False,False,False,6699,0.00659574,EXHAUSTED_NO_WITNESS,True
3,71,False,EXHAUSTED_NO_WITNESS,True,False,False,False,4665,0.004646166,EXHAUSTED_NO_WITNESS,True
3,72,False,EXHAUSTED_NO_WITNESS,True,False,False,False,3628,0.002720929,EXHAUSTED_NO_WITNESS,True
3,73,False,EXHAUSTED_NO_WITNESS,True,False,False,False,2367,0.002406202,EXHAUSTED_NO_WITNESS,True
3,74,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1727,0.001912808,EXHAUSTED_NO_WITNESS,True
3,75,False,EXHAUSTED_NO_WITNESS,True,False,False,False,1223,0.001701738,EXHAUSTED_NO_WITNESS,True
3,76,False,EXHAUSTED_NO_WITNESS,True,False,False,False,843,0.001075449,EXHAUSTED_NO_WITNESS,True
3,77,False,EXHAUSTED_NO_WITNESS,True,False,False,False,555,0.000798936,EXHAUSTED_NO_WITNESS,True
3,78,False,EXHAUSTED_NO_WITNESS,True,False,False,False,411,0.000841504,EXHAUSTED_NO_WITNESS,True
3,79,False,EXHAUSTED_NO_WITNESS,True,False,False,False,256,0.000425821,EXHAUSTED_NO_WITNESS,True
3,80,False,EXHAUSTED_NO_WITNESS,True,False,False,False,184,0.000407215,EXHAUSTED_NO_WITNESS,True
3,81,False,EXHAUSTED_NO_WITNESS,True,False,False,False,112,0.000358575,EXHAUSTED_NO_WITNESS,True
3,82,False,EXHAUSTED_NO_WITNESS,True,False,False,False,75,0.000264024,EXHAUSTED_NO_WITNESS,True
3,83,False,EXHAUSTED_NO_WITNESS,True,False,False,False,40,0.000283356,EXHAUSTED_NO_WITNESS,True
3,84,False,EXHAUSTED_NO_WITNESS,True,False,False,False,23,0.000249058,EXHAUSTED_NO_WITNESS,True
3,85,False,EXHAUSTED_NO_WITNESS,True,False,False,False,14,0.000224025,EXHAUSTED_NO_WITNESS,True
3,86,False,EXHAUSTED_NO_WITNESS,True,False,False,False,7,0.000204086,EXHAUSTED_NO_WITNESS,True
3,87,False,EXHAUSTED_NO_WITNESS,True,False,False,False,4,0.000204124,EXHAUSTED_NO_WITNESS,True
3,88,False,EXHAUSTED_NO_WITNESS,True,False,False,False,2,0.000221811,EXHAUSTED_NO_WITNESS,True
4,5,False,EXHAUSTED_NO_WITNESS,True,False,False,False,116503710,195.690513489,EXHAUSTED_NO_WITNESS,True
4,6,False,EXHAUSTED_NO_WITNESS,True,False,False,False,170729047,216.553367077,EXHAUSTED_NO_WITNESS,True
4,7,False,EXHAUSTED_NO_WITNESS,True,False,False,False,124075817,201.965589779,EXHAUSTED_NO_WITNESS,True
4,8,False,EXHAUSTED_NO_WITNESS,True,False,False,False,110643016,181.064682753,EXHAUSTED_NO_WITNESS,True
4,9,False,EXHAUSTED_NO_WITNESS,True,False,False,False,125169523,204.667107123,EXHAUSTED_NO_WITNESS,True
4,10,False,EXHAUSTED_NO_WITNESS,True,False,False,False,108685198,173.511249272,EXHAUSTED_NO_WITNESS,True
4,11,False,EXHAUSTED_NO_WITNESS,True,False,False,False,95944256,155.355726736,EXHAUSTED_NO_WITNESS,True
